DATE,SEASON,SPORT,TEAM,OPPONENT(S),LOCATION,OUR SCORE,THEIR SCORE,RESULT,GAME/MEET NOTES:,LINK:
8/30/22,Fall,W Volleyball,Varsity,South Greene,Home,,,,,
8/30/22,Fall,W Volleyball,JV,South Greene,Home,,,,,
8/29/22,Fall,W Soccer,Varsity,David Crockett,Home,9,0,W,"Flanary (2), Taylor (2), Cradic (2), Fleming, McLain, Bogni",
8/29/22,Fall,W Volleyball,Varsity,TN High,Away,3,0,W,"25-14, 25-17, 26-24",
8/29/22,Fall,W Volleyball,JV,TN High,Away,1,2,L,,
8/29/22,Fall,W Volleyball,FR,TN High,Away,2,0,W,,
8/29/22,Fall,Football,JV,Elizabethton,Away,27,0,W,,
8/29/22,Fall,Football,FR,Volunteer,Home,38,8,W,,
8/29/22,Fall,M Golf,Varsity,TN High & Volunteer,Cattails,161,"TN High-149, Vol.-166",2nd,"B. Adams-40, S. Barbour-40, E. Hicks-40, P. Hauk-41",
8/29/22,Fall,W Golf,Varsity,TN High & Volunteer,Cattails,74,"TN High-118, Vol-115",1st,"M. Hauk-38, A. Robinson-36, A. Colhoun-44, L. Maynard-54",
8/27/22,Fall,Cross Country,Varsity,Run For the Hills,"Bristol, TN",,,"Girls-1st, Boys-2nd",,Complete Results
8/26/22,Fall,Football,Varsity,Volunteer,Away,41,0,W,,
8/25/22,Fall,W Soccer,Varsity,Elizabethton,Away,4,1,W,,
8/25/22,Fall,W Volleyball,Varsity,Science Hill,Away,1,4,L,"25-22, 15-25, 19-25, 25-27",
8/25/22,Fall,W Volleyball,JV,Science Hill,Away,0,2,L,"18-25, 17-25",
8/25/22,Fall,W Volleyball,FR,Science Hill,Away,2,0,W,"25-17, 25-20",
8/25/22,Fall,W Golf,Varsity,Science Hill & Elizabethton,Cattails,74,"SH-79, Eliz-90",1st,"M. Hauk-34, A. Robinson-40, A. Colhoun-45, M. DeBord-52, S. He is-68",
8/25/22,Fall,M Golf,Varsity,Science Hill & Elizabethton,Cattails,149,"SH-143, Eliz-156",2nd,"B. Adams-43, S. Barbour-36, E. Hicks-33, E. Timbes-37",
8/24/22,Fall,W Golf,Varsity,Conference Tournament,Pine Oaks,169,,1st,"Team Scores: Science Hill (171), West Ridge (208)",
8/24/22,Fall,M Golf,Varsity,Conference Tournament,Pine Oaks,341,,4th,"Team Scores: Science Hill (295), TN High (317), Volunteer (334), West Ridge (342), Elizabethton (346), Daniel Boone (357), David Crockett (362), S. East (375)",
8/23/22,Fall,W Soccer,Varsity,Daniel Boone,Away,6,1,W,,
